filename,ext,size_bytes,mtime
ADAPTIVE_INVESTIGATION_FLOWCHART.txt,.txt,32965,1781178097.0238662
add_email_badge_script.ps1,.ps1,1720,1781178098.274534
apply_automation_slug_migration.ps1,.ps1,4411,1781178098.2815397
apply_comm_hub_fixes.ps1,.ps1,4573,1781178098.2815397
APPLY_PRIME_LOADED_FIX.ps1,.ps1,2687,1781178097.208212
architecture_diagram_content_blocks.svg,.svg,6045,1781178098.2825396
batch_add_short_descriptions.ps1,.ps1,2064,1781178098.5645132
BISTART_current.txt,.txt,5282,1781178097.232732
BISTARTVALOR.ps1,.ps1,8867,1781178097.232732
CHAT_SIDEBAR_REGISTRATION_TEST.js,.js,5123,1781178097.247825
CHAT_SIDEBAR_SMOKE_TEST.js,.js,10389,1781178097.2488248
check_message_order.js,.js,2903,1781178098.5697145
check_v10_deployment.ps1,.ps1,2490,1781178098.5748003
comment_all_font_weights_final.ps1,.ps1,2633,1781178098.5758061
comment_font_weights.ps1,.ps1,6187,1781178098.576811
comment_font_weights_v2.ps1,.ps1,3115,1781178098.576811
comment_remaining_font_weights.ps1,.ps1,2763,1781178098.5778108
COMMIT_COMMANDS.txt,.txt,1719,1781178097.255837
complete_test_run.txt,.txt,36608,1781178098.5788105
create_threads_table_render.sh,.sh,1951,1781178098.5818107
database_data_locations.txt,.txt,2462,1781178098.6476803
debug_css_leak.js,.js,12676,1781178098.6496816
debug_kanban_board.js,.js,1973,1781178098.651682
debug_message_count.js,.js,4037,1781178098.651682
diagnose_kanban_dashboard.html,.html,12745,1781178098.6667135
DIAGNOSE_TRANSCRIPTION_SIDEBAR.ps1,.ps1,23242,1781178097.3087435
diagnostic_agent_loading.js,.js,3745,1781178098.6677172
FIX_HTML_STRUCTURE.ps1,.ps1,1052,1781178097.3302715
FIX_MISSING_BUTTONS.js,.js,6532,1781178097.3312733
fix_schema_required.ps1,.ps1,1464,1781178102.3330505
fix_ui_paths.ps1,.ps1,5423,1781178102.335556
fix_ui_paths_round2.ps1,.ps1,4127,1781178102.335556
flask_debug_output.txt,.txt,1161092,1781178102.338558
force_reload_agent2_with_logging.js,.js,12150,1781178102.338558
full_test_output.txt,.txt,32872,1781178102.3405612
integrate-synergy-realtime.sh,.sh,10473,1781178102.3592515
MASTER_PRIME_DEBUGGER.js,.js,13834,1781178097.3780825
MESSAGE_TIMESTAMP_UI_IMPLEMENTATION.js,.js,10353,1781178097.3845823
meta_test_output.txt,.txt,37572,1781178102.3768127
output.txt,.txt,11768,1781178102.3808126
PRIME_ROOT_CAUSE_FINDER.js,.js,12701,1781178097.4620445
QUICK_REFERENCE_CARD.txt,.txt,12528,1781178097.478701
render-docker.yaml,.yaml,5287,1781178102.3848224
render-v10.yaml,.yaml,2615,1781178102.3848224
render_cleaned.yaml,.yaml,22444,1781178102.385826
RENDER_CREDENTIALS_TEMPLATE.txt,.txt,0,1781178097.4927135
RENDER_DOWNLOAD_UPDATED_DBS.sh,.sh,1752,1781178097.496721
RENDER_V10_ENV_VARS.txt,.txt,488,1781178097.4997199
requirements_text_extraction.txt,.txt,390,1781178102.3868303
SEARCH_TERM_DEMONSTRATION.txt,.txt,9102,1781178097.5302024
semantic_test_20_more_results.txt,.txt,323238,1781178102.4263902
semantic_test_results.txt,.txt,14108,1781178102.4273949
SETTINGS_BUTTON_INTEGRATION.html,.html,2944,1781178097.5322025
SHIPPING_INTEGRATION_DIAGRAM.txt,.txt,12923,1781178097.5332024
SPIRAL_FIXED_FEE_IMPACT_ANALYSIS.txt,.txt,3655,1781178097.5457568
START_WITH_SUPABASE.ps1,.ps1,1458,1781178097.5488439
